,cluster,y,x,E,size
0,004580_A,9.0,26.0,715232.0,108.0
1,011701_G,15.0,17.0,1184202.0,179.0
2,003882_A,3.0,3.0,31156.0,6.0
3,009717_G,7.0,62.0,1423016.0,245.0
4,005590_A,32.0,31.0,1014772.0,169.0
5,008859_G,13.0,9.0,397825.0,63.0
6,009717_E,7.0,62.0,1423016.0,245.0
7,002164_A,14.0,14.0,568594.0,78.0
8,010003_C,9.0,29.0,1075462.0,139.0
9,002782_G,7.0,39.0,933895.0,153.0
10,005247_G,3.0,2.0,27591.0,5.0
11,010868_B,30.0,92.0,2232496.0,381.0
12,002311_B,8.0,8.0,265265.0,48.0
13,000102_A,116.0,34.0,3528536.0,619.0
14,002178_A,7.0,7.0,195873.0,38.0
15,011935_D,15.0,22.0,0.0,0.0
16,000066_D,58.0,76.0,2850314.0,474.0
17,010859_E,10.0,20.0,599582.0,89.0
18,000154_E,66.0,60.0,2260511.0,381.0
19,011380_E,3.0,3.0,47481.0,8.0
20,008102_E,18.0,20.0,751733.0,111.0
21,005987_C,36.0,74.0,2988264.0,499.0
22,004242_F,17.0,22.0,748111.0,112.0
23,005567_G,19.0,28.0,816421.0,131.0
24,007348_E,7.0,8.0,361788.0,37.0
25,007279_A,4.0,4.0,112205.0,16.0
26,002433_H,11.0,24.0,714484.0,105.0
27,007815_F,2.0,3.0,27646.0,5.0
28,004628_F,3.0,3.0,32482.0,5.0
29,001052_H,58.0,84.0,4213354.0,699.0
30,005102_B,32.0,19.0,1961980.0,215.0
31,009179_A,30.0,16.0,974923.0,127.0
32,001753_B,16.0,51.0,1876860.0,259.0
33,003865_A,3.0,3.0,66582.0,7.0
34,010634_D,14.0,46.0,1171418.0,186.0
35,007428_E,6.0,8.0,380615.0,30.0
36,009891_D,5.0,5.0,145646.0,21.0
37,007803_B,6.0,6.0,157120.0,29.0
38,000407_A,3.0,2.0,75870.0,6.0
39,006566_D,4.0,3.0,159544.0,9.0
40,005506_G,26.0,14.0,1041439.0,139.0
41,005127_D,90.0,75.0,2603033.0,454.0
42,010301_E,35.0,46.0,1832918.0,273.0
43,011813_D,91.0,41.0,3559457.0,634.0
44,000309_A,4.0,4.0,98144.0,13.0
45,005499_E,3.0,3.0,40709.0,8.0
46,010329_A,31.0,15.0,1272999.0,200.0
47,001686_A,12.0,19.0,964790.0,115.0
48,005947_E,2.0,3.0,27734.0,5.0
49,011149_D,56.0,20.0,1377138.0,227.0
50,002989_F,27.0,29.0,969133.0,149.0
51,001067_B,4.0,3.0,172784.0,8.0
52,006915_A,6.0,5.0,242245.0,25.0
53,007581_A,4.0,4.0,188135.0,13.0
54,004231_G,24.0,8.0,606623.0,97.0
55,004374_E,10.0,9.0,614237.0,74.0
56,009587_D,57.0,26.0,1332668.0,238.0
57,007520_B,15.0,16.0,704136.0,90.0
58,008155_G,17.0,10.0,850616.0,92.0
59,010923_C,3.0,2.0,27200.0,5.0
60,001934_F,25.0,22.0,1231675.0,117.0
61,005247_E,3.0,2.0,27591.0,5.0
62,010186_C,23.0,41.0,1203451.0,187.0
63,000637_C,22.0,8.0,740342.0,103.0
64,008380_G,10.0,12.0,556007.0,84.0
65,010119_H,10.0,28.0,1277878.0,154.0
66,001976_H,6.0,5.0,145802.0,27.0
67,002864_A,40.0,7.0,1011801.0,160.0
68,008113_G,8.0,48.0,1011750.0,177.0
69,006854_C,3.0,3.0,27777.0,5.0
70,005567_F,28.0,19.0,816421.0,131.0
71,006935_E,4.0,4.0,54161.0,13.0
72,010634_A,46.0,14.0,1171418.0,186.0
73,008897_F,13.0,26.0,983105.0,123.0
74,008219_G,3.0,3.0,24584.0,6.0
75,009306_F,8.0,9.0,358568.0,53.0
76,001829_H,5.0,4.0,134192.0,16.0
77,001207_B,7.0,5.0,249267.0,28.0
78,008102_B,20.0,18.0,751733.0,111.0
79,001334_B,38.0,23.0,1628176.0,282.0
80,003772_C,7.0,4.0,155209.0,18.0
81,000885_E,47.0,35.0,1185465.0,163.0
82,005694_E,2.0,3.0,36057.0,5.0
83,002149_D,16.0,27.0,787855.0,123.0
84,009458_A,64.0,25.0,2190789.0,377.0
85,001829_C,4.0,5.0,134192.0,16.0
86,000407_H,2.0,3.0,75870.0,6.0
87,007793_B,7.0,10.0,319259.0,49.0
88,002496_B,11.0,8.0,501432.0,46.0
89,001273_C,7.0,8.0,314945.0,46.0
90,003873_A,5.0,6.0,180651.0,26.0
91,009660_F,6.0,6.0,154088.0,27.0
92,008309_E,17.0,19.0,866979.0,148.0
93,001355_D,18.0,25.0,853550.0,127.0
94,006035_D,2.0,3.0,36192.0,5.0
95,007875_C,4.0,4.0,65352.0,14.0
96,004682_G,4.0,4.0,65142.0,13.0
97,005459_E,14.0,15.0,991852.0,150.0
98,006560_F,9.0,6.0,463906.0,38.0
99,003809_C,15.0,12.0,594484.0,75.0
100,006035_F,2.0,3.0,36192.0,5.0
101,005057_F,5.0,12.0,404305.0,29.0
102,000430_E,3.0,3.0,41746.0,8.0
103,001166_C,20.0,14.0,689852.0,120.0
104,009115_E,11.0,68.0,1414993.0,246.0
105,003882_G,3.0,3.0,31156.0,6.0
106,004017_B,16.0,9.0,607864.0,107.0
107,002431_F,23.0,7.0,743854.0,105.0
108,006471_B,9.0,11.0,750924.0,78.0
109,000476_G,11.0,14.0,1239951.0,96.0
110,002297_G,6.0,7.0,148199.0,28.0
111,005752_H,46.0,19.0,1143954.0,194.0
112,005947_G,2.0,3.0,27734.0,5.0
113,010024_D,6.0,6.0,195157.0,30.0
114,009547_A,7.0,25.0,683784.0,102.0
115,004489_C,5.0,5.0,90859.0,21.0
116,001198_D,8.0,11.0,351079.0,63.0
117,004147_E,15.0,10.0,661802.0,106.0
118,001386_D,5.0,5.0,184008.0,19.0
119,004715_A,4.0,4.0,157586.0,13.0
120,008977_C,28.0,6.0,779071.0,119.0
121,003170_A,10.0,7.0,387674.0,58.0
122,012058_G,8.0,20.0,541284.0,104.0
123,009845_A,2.0,3.0,42513.0,6.0
124,010886_G,6.0,5.0,114101.0,22.0
125,008755_A,29.0,60.0,1452993.0,251.0
126,005658_E,14.0,11.0,643344.0,81.0
127,011794_C,174.0,185.0,8014488.0,1352.0
128,004822_A,11.0,37.0,920595.0,152.0
129,005278_A,44.0,50.0,1437772.0,259.0
130,005416_B,3.0,5.0,191514.0,10.0
